Наименование материала,Поставщик
Краска-раствор,Арсенал
Каолин,Железногорская руда
Каолин,ВоронежРудоКомбинат
Стекло,Арсенал
Кварцевый песок,БрянскСтройресурс
Перлит,ГорТехРазработка
Глина,Белая гора
Кварцевый песок,КамчаткаСтройМинералы
Дегидратированная глина,ВоронежРудоКомбинат
Полевой шпат,Белая гора
Глина,БрянскСтройресурс
Порошок цветной,Арсенал
Жильный кварц,Горная компания
Полевой шпат,БрянскСтройресурс
Гидрослюда,ВоронежРудоКомбинат
Стекло,КамчаткаСтройМинералы
Полевой шпат,КурскРесурс
Монтмориллонит,ВоронежРудоКомбинат
Кварц,МосКарьер
Барий углекислый,Горная компания
Жидкое стекло,КурскРесурс
Шамот,Горная компания
Глина,ГорТехРазработка
Кварц,Карелия добыча
Гидрослюда,Железногорская руда
Перлит,ВоронежРудоКомбинат
Шамот,Арсенал
Барий углекислый,КамчаткаСтройМинералы
Бура техническая,КамчаткаСтройМинералы
Техническая сода,Минерал Ресурс
Пирофосфат натрия,КамчаткаСтройМинералы
Гидрослюда,Белая гора
Жильный кварц,Карелия добыча
Перлит,Смоленский добывающий комбинат
Кварцевый песок,Карелия добыча
Монтмориллонит,Белая гора
Краска-раствор,КурскРесурс
Стекло,Сапфир
Порошок цветной,КурскРесурс
Каолин,БрянскСтройресурс
Жидкое стекло,Минерал Ресурс
Бура техническая,Сапфир
Дегидратированная глина,МосКарьер
Бура техническая,Нижегородская разработка
Монтмориллонит,Железногорская руда
Жидкое стекло,Московский ХимЗавод
Жидкое стекло,Сапфир
Порошок цветной,Московский ХимЗавод
Порошок цветной,ХимБытСервис
Углещелочной реагент,Московский ХимЗавод
Кварц,Речная долина
Жильный кварц,Нижегородская разработка
Краска-раствор,Московский ХимЗавод
Кварц,Нижегородская разработка
Дегидратированная глина,Стройкомплект
Кварцевый песок,Речная долина
Барий углекислый,Сапфир
Шамот,Стройкомплект
Дегидратированная глина,Сапфир
Гидрослюда,Тульский обрабатывающий завод 
Пирофосфат натрия,Сапфир
Перлит,Тульский обрабатывающий завод 
Техническая сода,Сапфир
Глина,Смоленский добывающий комбинат
Техническая сода,Московский ХимЗавод
Монтмориллонит,Смоленский добывающий комбинат
Углещелочной реагент,КурскРесурс
Техническая сода,ХимБытСервис
Бура техническая,Стройкомплект
Пирофосфат натрия,Тульский обрабатывающий завод 
Жильный кварц,Смоленский добывающий комбинат
Стекло,Стройкомплект
Углещелочной реагент,ХимБытСервис
Барий углекислый,Тульский обрабатывающий завод 
Пирофосфат натрия,ХимБытСервис
Каолин,Тульский обрабатывающий завод 
Шамот,МосКарьер
Углещелочной реагент,Тульский обрабатывающий завод 
Краска-раствор,ХимБытСервис
Полевой шпат,Смоленский добывающий комбинат
