Наименование материала,Тип материала,Цена единицы материала,Количество на складе,Минимальное количество,Количество в упаковке,Единица измерения
Глина,Пластичные материалы,"15,29","1570,00","5500,00",30,кг
Каолин,Пластичные материалы,"18,20","1030,00","3500,00",25,кг
Гидрослюда,Пластичные материалы,"17,20","2147,00","3500,00",25,кг
Монтмориллонит,Пластичные материалы,"17,67","3000,00","3000,00",30,кг
Перлит,Добавка,"13,99","150,00","1000,00",50,л
Стекло,Добавка,"2,40","3000,00","1500,00",500,кг
Дегидратированная глина,Добавка,"21,95","3000,00","2500,00",20,кг
Шамот,Добавка,"27,50","2300,00","1960,00",20,кг
Техническая сода,Электролит,"54,55","1200,00","1500,00",25,кг
Жидкое стекло,Электролит,"76,59","500,00","1500,00",15,кг
Кварц,Глазурь,"375,96","1500,00","2500,00",10,кг
Полевой шпат,Глазурь,"15,99","750,00","1500,00",100,кг
Краска-раствор,Пигмент,"200,90","1496,00","2500,00",5,л
Порошок цветной,Пигмент,"84,39","511,00","1750,00",25,кг
Кварцевый песок,Добавка,"4,29","3000,00","1600,00",50,кг
Жильный кварц,Добавка,"18,60","2556,00","1600,00",25,кг
Барий углекислый,Глазурь,"303,64","340,00","1500,00",25,кг
Бура техническая,Глазурь,"125,99","165,00","1300,00",25,кг
Углещелочной реагент,Электролит,"3,45","450,00","1100,00",25,кг
Пирофосфат натрия,Электролит,"700,99","356,00","1200,00",25,кг
